StreetPostcode,ReplacedPipes,BuiltAfter1970,Easting,Northing,WOAName,Region,CensusHouseholdCount2011,UrbanRural,Phosphorus,LeadMeasurement,BuildYear,MeanHouseAge,MedianHouseAge,BuildYearRounded,LeadPresence,TotalPoints,LeadProportion
AB314FJ,0,1,369731,796905,Invercannie WOA,DON,10,3,0,0.2,2009.2,9.8,10,2009,0,1,0
AB315ED,0,1,379127,798871,Invercannie WOA,DON,13,6,0,0.2,1998.692308,20.30769231,20,1999,0,2,0
AB315ZX,0,1,370680,796726,Invercannie WOA,DON,16,3,0,0.2,2002.055556,16.94444444,17,2002,0,2,0
AB345BG,0,1,359013,799608,Invercannie WOA,DON,14,7,0,0.2,1999,20,20,1999,0,2,0
AB379EX,1,0.5,317040,818516,Blairnamarrow WOA,DON,49,7,0,5.223529412,1947.4,71.6,37,1947,16,17,0.941176471
AB379HA,1,0.25,316668,819019,Blairnamarrow WOA,DON,39,7,0,4.183333333,1914.416667,104.5833333,139,1914,2,6,0.333333333
AB379HU,0,0.533333333,316828,818959,Blairnamarrow WOA,DON,29,7,0,0.7,1983,36,20,1983,1,3,0.333333333
AB387BP,0,1,327835,849303,Spey Badentinan WOA,DON,12,6,1183.960784,0.2,1997.444444,21.55555556,22,1997,0,2,0
AB387QP,0,0.8,322103,841511,Spey Badentinan WOA,DON,40,7,1183.960784,0.2,1981.333333,37.66666667,14,1981,0,4,0
AB392XZ,0,1,385918,786840,Invercannie WOA,DON,20,2,0,0.2,2000.5,18.5,18,2000,0,2,0
AB421UF,0,1,413268,846539,Forehill WOA,DON,20,2,0,0.2,2001,18,18,2001,0,3,0
AB422PR,0,1,411968,844423,Forehill WOA,DON,18,2,0,0.2,1998.272727,20.72727273,21,1998,0,3,0
AB544HD,0,0.272727273,349886,827148,Inver-Mann-Turriff WOA,DON,19,7,696.9215686,11.75,1907.818182,111.1818182,149,1908,3,6,0.5
AB565QR,0,0,339884,864330,Spey Badentinan WOA,DON,42,6,1183.960784,1.18,1880.428571,138.5714286,139,1880,3,5,0.6
DD24SB,0,0,335528,731646,Clatto WOA,TAY,10,1,1243.18,0.2,1950,69,69,1950,0,1,0
DD36UB,0,1,340089,731004,Clatto WOA,TAY,15,1,1243.18,3,1996,23,23,1996,1,2,0.5
DD38LB,0,0,339902,732519,Clatto WOA,TAY,10,1,1243.18,4.3,1936.538462,82.46153846,82,1937,1,1,1
DD39UB,0,1,337159,733864,Clatto WOA,TAY,10,1,1243.18,0.2,1997,22,22,1997,0,1,0
DD47HW,0,0,342079,731582,Clatto WOA,TAY,20,1,1243.18,0.2,1934.526316,84.47368421,85,1935,0,2,0
DD54HS,0,0.8,349005,733006,Clatto WOA,TAY,6,1,1243.18,0.2,1971.4,47.6,41.5,1971,0,1,0
DD81BZ,0,0,345182,750509,Lintrathen WOA,TAY,10,2,1003.84,0.2,1929,90,90,1929,0,1,0
DD84EE,0,1,338662,760131,Whitehillocks WOA,TAY,10,6,1342.68,0.2,1997,22,22,1997,0,1,0
DD97RR,0,0,351612,763826,Whitehillocks WOA,TAY,9,6,1342.68,0.2,1948.6,70.4,70,1949,0,1,0
DD97TF,0,0.4,360191,768547,Whitehillocks WOA,TAY,10,6,1342.68,0.2,1940.8,78.2,119,1941,0,1,0
DG109EB,0,0,308572,605160,Moffat WOA,NITH,13,7,904.34,2.233333333,1864,155,119,1864,3,3,1
DG109HB,0,0.454545455,308297,605144,Moffat WOA,NITH,9,7,904.34,0.2,1939.909091,79.09090909,119,1940,0,2,0
DG109HD,0,0,308438,605228,Moffat WOA,NITH,13,7,904.34,0.333333333,1884.588235,134.4117647,119,1885,0,3,0
DG109HT,1,0.1875,308491,605516,Moffat WOA,NITH,14,7,904.34,0.2,1920.625,98.375,119,1921,0,2,0
DG109JX,1,0.173913043,309225,605493,Moffat WOA,NITH,22,7,904.34,4.2,1943.782609,75.2173913,58,1944,2,3,0.666666667
DG111NF,0,1,308395,582382,Black Esk WOA,NITH,10,6,734.2745098,0.2,1991.8,27.2,27,1992,0,1,0
DG111RP,1,0.1,305941,581788,Black Esk WOA,NITH,10,6,734.2745098,0.3,1889.1,129.9,119,1889,0,1,0
DG11BT,0,0,297244,576288,Killylour & Terregles WOA,NITH,15,2,502.7272727,3.65,1960,59,59,1960,1,2,0.5
DG11LP,0,0,297397,576482,Killylour & Terregles WOA,NITH,10,2,502.7272727,4.3,1878.181818,140.8181818,139,1878,2,2,1
DG11SW,0,0.75,297469,581292,Kettleton WOA,NITH,16,6,293.98,0.2,1973.9375,45.0625,37,1974,0,2,0
DG11TE,0,0.142857143,296038,584212,Kettleton WOA,NITH,15,6,293.98,1.5,1883.785714,135.2142857,154,1884,2,2,1
DG11TG,0,0,294236,584252,Kettleton WOA,NITH,7,6,293.98,0.3,1850,169,169,1850,0,1,0
DG125DX,0,0,319581,567101,Black Esk WOA,NITH,9,3,734.2745098,0.2,1879.166667,139.8333333,139,1879,0,1,0
DG125EG,0,0,319690,567288,Black Esk WOA,NITH,10,3,734.2745098,0.5,1953.2,65.8,64,1953,0,1,0
DG13BA,0,0,298235,576623,Killylour & Terregles WOA,NITH,19,2,502.7272727,0.35,1875.5,143.5,144,1876,0,3,0
DG13BL,0,0,298382,576566,Killylour & Terregles WOA,NITH,28,2,502.7272727,2.3,1894.75,124.25,115,1895,2,3,0.666666667
DG13BP,1,0.166666667,298762,576532,Killylour & Terregles WOA,NITH,11,6,502.7272727,0.2,1871.416667,147.5833333,169,1871,0,2,0
DG13HH,0,0,299035,576208,LF & Terregles & Killylour WOA,NITH,12,2,502.7272727,0.35,1966.416667,52.58333333,53,1966,0,2,0
DG13HQ,0,0,299172,576154,LF & Terregles & Killylour WOA,NITH,10,2,502.7272727,0.2,1965.5,53.5,53.5,1966,0,1,0
DG13HR,0,0.555555556,299225,576208,LF & Terregles & Killylour WOA,NITH,18,2,502.7272727,0.2,1970.611111,48.38888889,48,1971,0,2,0
DG13RZ,0,1,299337,579185,Black Esk WOA,NITH,18,3,734.2745098,0.2,1986,33,33,1986,0,2,0
DG14EA,0,1,299408,575261,LF & Terregles & Killylour WOA,NITH,19,2,502.7272727,0.3,1973.473684,45.52631579,46,1973,0,2,0
DG14PA,0,1,299384,575755,LF & Terregles & Killylour WOA,NITH,43,2,502.7272727,0.68,1977.311111,41.68888889,42,1977,2,5,0.4
DG165AW,0,0.785714286,331612,567154,Black Esk & Winterhope WOA,NITH,28,3,734.2745098,0.2,1970.714286,48.28571429,46,1971,0,3,0
DG165BG,0,1,331856,566735,Black Esk & Winterhope WOA,NITH,12,3,734.2745098,0.2,1982.75,36.25,36,1983,0,2,0
DG165ED,1,0,332290,568364,Black Esk WOA,NITH,18,6,734.2745098,0.2,1954.5,64.5,64,1954,0,2,0
DG165HX,0,1,331647,567058,Black Esk & Winterhope WOA,NITH,18,3,734.2745098,0.2,1988.105263,30.89473684,31,1988,0,2,0
DG165JW,0,1,331411,566871,Black Esk & Winterhope WOA,NITH,10,3,734.2745098,0.2,1992.3,26.7,26,1992,0,1,0
DG20JN,1,0.058823529,286807,581124,Killylour WOA,NITH,17,6,829.6132766,2.6,1933.235294,85.76470588,83,1933,2,5,0.4
DG28AJ,0,0.2,292598,557116,Cargen Borehole WOA,NITH,8,6,50.25490196,0.3,1891.4,127.6,131.5,1891,0,2,0
DG28PF,1,0.090909091,289516,569264,Cargen Borehole WOA,NITH,9,6,50.25490196,0.3,1869,150,169,1869,0,1,0
DG29BS,1,0,296533,576402,Killylour & Terregles WOA,NITH,26,2,502.7272727,26.44,1950.153846,68.84615385,69,1950,5,5,1
DG29BU,0,0,296479,576478,Killylour & Terregles WOA,NITH,9,2,502.7272727,0.2,1950.4,68.6,69,1950,0,1,0
DG29DL,1,0.071428571,296230,575865,Killylour & Terregles WOA,NITH,28,2,502.7272727,11.9,1919,100,119,1919,3,3,1
DG29HG,0,1,295545,576578,Killylour & Terregles WOA,NITH,10,2,502.7272727,0.2,1995.8,23.2,23,1996,0,1,0
DG29SJ,0,0.1,288391,575883,Killylour WOA,NITH,10,6,1186.702128,0.2,1905.9,113.1,131.5,1906,0,1,0
DG29SL,0,0.083333333,287060,575933,Killylour WOA,NITH,21,6,1186.702128,2.133333333,1874.416667,144.5833333,169,1874,2,3,0.666666667
DG29SN,0,0,287020,575889,Killylour WOA,NITH,13,6,1186.702128,0.25,1952.571429,66.42857143,67,1953,0,6,0
DG29SQ,0,0.142857143,287678,577671,Killylour WOA,NITH,17,6,1186.702128,1.46,1859.714286,159.2857143,169,1860,2,5,0.4
DG29TX,0,0.1,287293,579970,Killylour WOA,NITH,10,6,1186.702128,0.25,1902.2,116.8,114.5,1902,0,2,0
DG35BJ,0,0,289419,603706,Kettleton WOA,NITH,7,7,293.98,0.2,1800,219,219,1800,0,1,0
DG35HZ,0,0.8,289554,592311,Kettleton WOA,NITH,10,6,293.98,0.2,1989.4,29.6,22,1989,0,1,0
DG35NL,0,0,287698,595398,Kettleton WOA,NITH,14,6,293.98,0.25,1870.6875,148.3125,131,1871,0,2,0
DG46BD,0,1,278118,609681,Afton South Region WOA,NITH,9,7,727.3673469,0.2,1975.1,43.9,44,1975,0,1,0
DG54PR,0,0.75,285571,553473,Lochinvar WOA,NITH,9,7,658.2040816,0.5,1985.1875,33.8125,36,1985,0,1,0
DG54QL,0,0.5,285504,553183,Cargen Borehole WOA,NITH,5,7,50.25490196,0.6,1951.5625,67.4375,48,1952,0,1,0
DG54QW,0,0.21875,285168,555576,Lochinvar WOA,NITH,29,7,506.2167867,0.225,1930.09375,88.90625,119,1930,0,4,0
DG64DR,0,0.916666667,268605,551348,Glengap & Ringford WOA,NITH,10,4,374.56,0.2,1970.333333,48.66666667,45,1970,0,2,0
DG64EH,0,0,268706,551290,Glengap & Ringford WOA,NITH,18,4,374.56,0.25,1851.777778,167.2222222,169,1852,0,2,0
DG64EU,0,0.363636364,269111,551809,Glengap & Ringford WOA,NITH,9,4,374.56,0.3,1948.181818,70.81818182,66,1948,0,2,0
DG64HL,0,1,269273,552209,Glengap & Ringford WOA,NITH,14,4,374.56,0.2,1980.133333,38.86666667,40,1980,0,2,0
DG64LE,0,1,267923,550428,Glengap & Ringford WOA,NITH,21,4,374.56,0.2,1979.9375,39.0625,40,1980,0,3,0
DG71DQ,1,0.071428571,276199,562190,Lochinvar WOA,NITH,14,4,658.2040816,19.15,1861.214286,157.7857143,169,1861,2,2,1
DG71DT,0,0,276297,562135,Lochinvar WOA,NITH,9,4,658.2040816,0.2,1861.5,157.5,159,1862,0,1,0
DG71ER,0,0.052631579,276341,562054,Lochinvar WOA,NITH,17,4,658.2040816,1.7,1867.315789,151.6842105,169,1867,1,2,0.5
DG71JY,1,0,276965,562668,Lochinvar WOA,NITH,9,4,658.2040816,0.2,1881,138,139,1881,0,1,0
DG72JB,1,0.071428571,259955,556440,Glengap WOA,NITH,13,7,784.94,1.55,1883.285714,135.7142857,149,1883,1,2,0.5
DG72JT,1,0,259710,556163,Glengap WOA,NITH,23,7,784.94,0.55,1821.64,197.36,219,1822,0,4,0
DG73BY,0,0.076923077,276922,568209,Killylour WOA,NITH,13,6,1186.702128,0.25,1894.769231,124.2307692,129,1895,0,2,0
DG73HE,0,0.121212121,278761,570329,Killylour WOA,NITH,34,6,1186.702128,4.35,1865.454545,153.5454545,169,1865,2,4,0.5
DG73HG,0,0.2,278663,570225,Killylour WOA,NITH,9,6,1186.702128,0.2,1882.5,136.5,159,1882,0,1,0
DG73HQ,1,0.111111111,278920,570204,Killylour WOA,NITH,44,6,1186.702128,0.22,1851.37037,167.6296296,189,1851,0,5,0
DG73LJ,0,0,280506,569871,Killylour WOA,NITH,37,6,1186.702128,0.241666667,1958.189189,60.81081081,63,1958,0,12,0
DG73TQ,1,0.076923077,256136,593258,Carsphairn WOA,NITH,31,7,0,12.8,1871.076923,147.9230769,159,1871,6,8,0.75
DG73UT,1,0.15,262465,581380,Lochinvar WOA,NITH,16,7,658.2040816,0.3,1871.55,147.45,169,1872,0,2,0
DG80AJ,0,0.148148148,217429,564707,Penwhirn WOA,NITH,20,6,868.9423077,0.3,1881.851852,137.1481481,169,1882,0,2,0
DG80HB,1,0,232847,561071,Penwhirn WOA,NITH,18,7,868.9423077,0.2,1910.105263,108.8947368,61,1910,0,2,0
DG80HE,0,0.916666667,232713,561085,Penwhirn WOA,NITH,12,7,868.9423077,0.2,1968.25,50.75,44.5,1968,0,2,0
DG86BP,0,1,240795,564994,Penwhirn WOA,NITH,20,4,868.9423077,0.2,2003.789474,15.21052632,15,2004,0,2,0
DG86BT,0,0,241111,565455,Penwhirn WOA,NITH,10,4,868.9423077,0.4,1890.909091,128.0909091,119,1891,0,1,0
DG86ES,0,0.333333333,240910,565237,Penwhirn WOA,NITH,21,4,868.9423077,0.2,1951.52381,67.47619048,81,1952,0,3,0
DG86JZ,1,0.153846154,241221,564710,Penwhirn WOA,NITH,12,4,868.9423077,7.25,1932.615385,86.38461538,91,1933,1,2,0.5
DG86LJ,1,0.25,241034,564877,Penwhirn WOA,NITH,27,4,868.9423077,3.775,1907.75,111.25,121,1908,1,4,0.25
DG86RE,0,0,238288,569271,Penwhirn WOA,NITH,10,7,868.9423077,0.2,1962,57,57,1962,0,2,0
DG86UA,0,0.4,241012,565276,Penwhirn WOA,NITH,10,4,868.9423077,0.2,1905.2,113.8,169,1905,0,1,0
DG87AL,0,0.315789474,243440,564935,Penwhirn WOA,NITH,18,7,868.9423077,0.2,1915,104,119,1915,0,9,0
DG87BD,0,0.4,245204,564370,Penwhirn WOA,NITH,15,7,868.9423077,0.2,1968.466667,50.53333333,53,1968,0,3,0
DG87HT,0,0,247480,558912,Penwhirn WOA,NITH,10,7,868.9423077,0.2,1958.4,60.6,59,1958,0,1,0
DG88LG,1,0.12,247846,536441,Penwhirn WOA,NITH,18,7,868.9423077,9.8,1865.08,153.92,169,1865,1,2,0.5
DG88LH,0,0.4,247721,536627,Penwhirn WOA,NITH,15,7,868.9423077,0.7,1957.866667,61.13333333,94,1958,1,3,0.333333333
DG89AB,1,0.064516129,242265,554248,Penwhirn WOA,NITH,30,7,868.9423077,0.366666667,1876,143,142,1876,0,3,0
DG89LJ,0,0.302325581,236069,540935,Penwhirn WOA,NITH,28,7,868.9423077,2.375,1918.023256,100.9767442,92,1918,1,4,0.25
DG89NF,0,0.181818182,236210,549571,Penwhirn WOA,NITH,10,7,868.9423077,0.2,1882.545455,136.4545455,159,1883,0,1,0
DG89NZ,0,0,239577,548762,Penwhirn WOA,NITH,9,7,868.9423077,0.2,1864.545455,154.4545455,169,1865,0,1,0
DG89RD,0,0.272727273,232156,547704,Penwhirn WOA,NITH,18,7,868.9423077,0.3,1886.409091,132.5909091,169,1886,0,3,0
DG90BH,1,0,205035,561078,Auchneel WOA,NITH,12,2,901.1020408,5.1,1950,69,69,1950,2,2,1
DG97PQ,0,0,205962,560374,Auchneel WOA,NITH,10,2,901.1020408,0.2,1953.4,65.6,69,1953,0,1,0
DG97QN,0,0,205953,560209,Auchneel WOA,NITH,12,2,901.1020408,1.666666667,1950.5,68.5,68.5,1950,2,3,0.666666667
DG97QZ,0,1,206151,559428,Penwhirn WOA,NITH,18,2,868.9423077,0.2,1984,35,35,1984,0,2,0
DG97RF,1,0.705882353,205856,560977,Auchneel WOA,NITH,7,2,901.1020408,0.2,1966.941176,52.05882353,10,1967,0,1,0
DG97RR,0,0.363636364,206127,560795,Auchneel WOA,NITH,8,2,901.1020408,0.2,1913.545455,105.4545455,129,1914,0,1,0
DG97SE,0,1,206037,559620,Penwhirn WOA,NITH,11,2,868.9423077,0.2,1983,36,36,1983,0,2,0
DG98HU,1,0.615384615,205470,559805,Penwhirn WOA,NITH,10,6,868.9423077,0.2,1953.153846,65.84615385,25,1953,0,1,0
DG98PP,0,0,214979,557661,Penwhirn WOA,NITH,17,6,868.9423077,0.3,1958.529412,60.47058824,60,1959,0,2,0
DG98RY,0,0.25,210743,559683,Penwhirn WOA,NITH,20,6,868.9423077,0.2,1888.35,130.65,139,1888,0,3,0
DG98SA,1,0.025641026,210582,559809,Penwhirn WOA,NITH,39,6,868.9423077,2.25,1952.74359,66.25641026,68,1953,2,4,0.5
DG98SF,0,1,210564,559974,Penwhirn WOA,NITH,9,6,868.9423077,0.2,1971,48,48,1971,0,1,0
DG99AP,0,1,206724,556835,Penwhirn WOA,NITH,10,6,868.9423077,0.2,1990,29,29,1990,0,2,0
DG99BJ,0,0.090909091,204312,555352,Penwhirn WOA,NITH,10,6,868.9423077,0.2,1874.818182,144.1818182,119,1875,0,1,0
DG99BP,0,0.1,205382,553517,Penwhirn WOA,NITH,10,6,868.9423077,0.2,1883.9,135.1,144,1884,0,3,0
DG99JB,0,0.363636364,209661,550200,Penwhirn WOA,NITH,12,6,868.9423077,0.2,1915.545455,103.4545455,139,1916,0,2,0
DG99NG,0,0.066666667,209694,540486,Penwhirn WOA,NITH,10,6,868.9423077,0.2,1861,158,149,1861,0,1,0
DG99QE,0,0.5,213287,537049,Penwhirn WOA,NITH,9,6,868.9423077,0.2,1943.2,75.8,64,1943,0,1,0
DG99QN,0,0.5,212678,535630,Penwhirn WOA,NITH,10,6,868.9423077,0.2,1931.166667,87.83333333,95.5,1931,0,1,0
EH105NS,0,0,323745,670601,Glencorse WOA,TWEED,16,1,1113.628571,0.65,1934.375,84.625,81,1934,1,2,0.5
EH125JY,0,0,323930,673261,Glencorse WOA,TWEED,9,1,1113.628571,0.6,1913,106,106,1913,0,1,0
EH139LB,0,0,323669,669024,Rosebery (Ed & Lothian) WOA,TWEED,12,1,640.38,0.2,1957,62,63,1957,0,2,0
EH142LE,0,0,321419,670234,Glencorse WOA,TWEED,9,1,1113.628571,7.3,1936.363636,82.63636364,83,1936,1,1,1
EH177EF,0,0,329507,668823,Glencorse WOA,TWEED,10,1,1113.628571,0.2,1967,52,52,1967,0,1,0
EH178HU,0,0,328285,668313,Glencorse WOA,TWEED,10,1,1113.628571,0.2,1963,56,56,1963,0,1,0
EH209JE,0,0,327548,665504,Glencorse WOA,TWEED,10,3,1113.628571,0.2,1951.142857,67.85714286,66,1951,0,1,0
EH209LA,0,0,327875,665678,Glencorse WOA,TWEED,10,3,1113.628571,1,1953,66,66,1953,1,1,1
EH209LG,0,0,327285,665564,Glencorse WOA,TWEED,10,3,1113.628571,0.2,1946,73,74,1946,0,1,0
EH217TJ,0,0.4,334875,671608,Rosebery (Ed & Lothian) WOA,TWEED,10,1,640.38,0.2,1955.7,63.3,49,1956,0,1,0
EH259NJ,0,1,326720,663187,Glencorse WOA,TWEED,10,6,1113.628571,0.2,1971,48,48,1971,0,1,0
EH259RW,0,0.076923077,326334,664946,Glencorse WOA,TWEED,9,3,1113.628571,3.8,1956.307692,62.69230769,64,1956,1,1,1
EH320NU,0,0,343921,676015,Castle Moffat WOA,TWEED,9,6,800.3469388,0.2,1970,49,49,1970,0,1,0
EH320PP,0,0.615384615,342594,675262,Castle Moffat WOA,TWEED,13,6,800.3469388,0.2,1958,61,25,1958,0,2,0
EH332DB,0,0,340642,672442,Rosebery (Ed & Lothian) WOA,TWEED,12,2,640.38,0.2,1954,65,65,1954,0,2,0
EH332HF,0,0,340019,672382,Rosebery (Ed & Lothian) WOA,TWEED,13,2,640.38,0.2,1966.428571,52.57142857,53,1966,0,2,0
EH332JB,0,0,340346,672353,Rosebery (Ed & Lothian) WOA,TWEED,15,2,640.38,0.2,1970,49,49,1970,0,2,0
EH332JJ,0,0,340129,672242,Rosebery (Ed & Lothian) WOA,TWEED,10,2,640.38,0.2,1970,49,49,1970,0,1,0
EH345EJ,0,0.277777778,346078,667349,Hopes WOA,TWEED,16,6,755.2045455,0.2,1918.277778,100.7222222,106,1918,0,2,0
EH345HF,0,1,345270,668928,Rosebery (Ed & Lothian) WOA,TWEED,47,6,640.38,0.2,1991.9375,27.0625,28,1992,0,5,0
EH345HG,0,1,347694,667802,Hopes WOA,TWEED,20,6,755.2045455,0.25,1991,28,28,1991,0,2,0
EH414JG,0,0.6,353676,666626,Hopes WOA,TWEED,8,6,755.2045455,0.2,1947.6,71.4,48,1948,0,1,0
EH414QH,0,0.3,353411,668062,Hopes WOA,TWEED,8,6,755.2045455,0.5,1925.8,93.2,106,1926,0,1,0
EH421GN,0,1,367710,677822,Castle Moffat WOA,TWEED,10,4,800.3469388,0.2,2003,16,16,2003,0,1,0
